Date,EOG,COP
1/3/2011,43.257858,38.074711
1/4/2011,43.159492,37.873856
1/5/2011,43.248493,37.689728
1/6/2011,43.478016,37.366108
1/7/2011,44.152515,37.444244
1/10/2011,44.475719,37.315903
1/11/2011,45.309490,38.035664
1/12/2011,46.207939,38.325798
1/13/2011,45.912373,37.527916
1/14/2011,47.188499,37.784576
1/18/2011,48.267582,37.991024
1/19/2011,47.591991,37.812485
1/20/2011,47.554436,37.500019
1/21/2011,47.723351,37.751110
1/24/2011,47.728035,37.996609
1/25/2011,46.855392,37.650677
1/26/2011,47.986088,38.638245
1/27/2011,48.441174,38.716358
1/28/2011,48.103371,39.369183
1/31/2011,49.914337,39.871330
2/1/2011,50.378815,40.010818
2/2/2011,50.313137,40.233986
2/3/2011,50.223991,40.189358
2/4/2011,50.097321,39.988503
2/7/2011,49.539005,40.334435
2/8/2011,49.149605,40.172611
2/9/2011,48.769588,39.424953
2/10/2011,48.905624,39.101364
2/11/2011,48.464634,39.938259
2/14/2011,49.215290,41.160191
2/15/2011,48.581928,41.009541
2/16/2011,48.319191,41.818592
2/17/2011,48.896252,42.629047
2/18/2011,51.087257,43.249962
2/22/2011,50.819820,43.244316
2/23/2011,53.667652,44.350681
2/24/2011,51.687782,43.622513
2/25/2011,52.429073,43.622513
2/28/2011,52.691788,43.955547
3/1/2011,50.636871,43.932961
3/2/2011,50.993420,44.170059
3/3/2011,52.119408,44.903858
3/4/2011,51.317150,45.146599
3/7/2011,50.941814,44.706310
3/8/2011,49.825199,44.209564
3/9/2011,49.637531,44.051517
3/10/2011,48.244118,42.437119
3/11/2011,49.567162,43.069328
3/14/2011,49.980026,42.809666
3/15/2011,49.468636,42.324226
3/16/2011,49.022934,41.624275
3/17/2011,50.988735,43.306412
3/18/2011,50.636871,42.533081
3/21/2011,52.264858,43.774921
3/22/2011,53.184422,43.588650
3/23/2011,53.517525,44.333744
3/24/2011,54.211891,44.988541
3/25/2011,55.145504,45.293354
3/28/2011,55.567776,44.915157
3/29/2011,56.144848,44.486164
3/30/2011,55.919643,45.547363
3/31/2011,55.600616,45.078861
4/1/2011,55.544312,44.977253
4/4/2011,55.534931,44.977253
4/5/2011,54.854633,45.338505
4/6/2011,53.864700,45.400604
4/7/2011,53.794334,45.383671
4/8/2011,53.794334,45.603821
4/11/2011,52.860691,45.225616
4/12/2011,51.246769,43.554779
4/13/2011,51.970337,43.837017
4/14/2011,52.022018,44.186993
4/15/2011,52.172367,44.661137
4/18/2011,51.622635,43.808788
4/19/2011,51.434711,44.113613
4/20/2011,52.538864,45.152229
4/21/2011,52.562355,45.569946
4/25/2011,51.843475,45.428829
4/26/2011,52.491886,45.840897
4/27/2011,52.510674,45.061920
4/28/2011,52.614040,43.718479
4/29/2011,53.116779,44.531319
5/2/2011,52.125385,43.729774
5/3/2011,50.814507,42.070213
5/4/2011,49.935883,41.573471
5/5/2011,49.029060,40.625160
5/6/2011,50.480904,41.172703
5/9/2011,52.303932,41.612988
5/10/2011,52.083099,42.109722
5/11/2011,50.128513,40.935623
5/12/2011,49.578793,40.371151
5/13/2011,49.541199,40.320351
5/16/2011,49.193512,40.320351
5/17/2011,49.621075,40.382427
5/18/2011,50.095627,41.099319
5/19/2011,49.799618,41.531067
5/20/2011,50.203697,41.479664
5/23/2011,48.982086,40.748447
5/24/2011,49.832508,41.079773
5/25/2011,50.368134,41.114052
5/26/2011,50.382240,41.325417
5/27/2011,50.814507,41.496803
5/31/2011,51.279663,41.828133
6/1/2011,50.833294,41.325417
6/2/2011,52.111294,41.216881
6/3/2011,51.946850,41.353973
6/6/2011,51.242062,40.514221
6/7/2011,50.767521,40.485649
6/8/2011,51.185692,40.822708
6/9/2011,52.050213,41.422535
6/10/2011,50.588985,40.839840
6/13/2011,49.198208,40.417091
6/14/2011,49.348557,41.056915
6/15/2011,48.333687,40.314270
6/16/2011,47.741665,40.914093
6/17/2011,48.042377,41.091206
6/20/2011,47.408085,41.285427
6/21/2011,48.014191,42.119473
6/22/2011,47.614815,41.868114
6/23/2011,47.060379,41.702438
6/24/2011,46.172359,40.805573
6/27/2011,47.140278,41.005501
6/28/2011,48.117558,41.850975
6/29/2011,48.441757,42.285137
6/30/2011,49.123043,42.953522
7/1/2011,48.432362,43.347702
7/5/2011,48.507530,43.330570
7/6/2011,48.051765,43.433388
7/7/2011,48.653194,43.844700
7/8/2011,47.887329,43.364830
7/11/2011,46.520042,42.673599
7/12/2011,46.463673,42.467953
7/13/2011,46.562515,42.502220
7/14/2011,45.513031,43.193462
7/15/2011,47.621387,43.656189
7/18/2011,47.776691,43.096340
7/19/2011,48.957935,43.090626
7/20/2011,48.854401,42.907829
7/21/2011,49.677952,43.812729
7/22/2011,50.153282,43.494869
7/25/2011,49.983864,43.084549
7/26/2011,50.153282,42.541283
7/27/2011,48.976749,42.263882
7/28/2011,48.675564,42.055840
7/29/2011,48.002579,41.605049
8/1/2011,47.823757,41.605049
8/2/2011,46.689568,40.819069
8/3/2011,46.110714,40.778610
8/4/2011,43.357609,38.674942
8/5/2011,45.141258,39.154625
8/8/2011,41.696354,35.785313
8/9/2011,42.759937,37.311043
8/10/2011,40.938667,36.241859
8/11/2011,43.832951,37.865856
8/12/2011,44.308262,38.172157
8/15/2011,45.315372,38.998592
8/16/2011,44.510643,38.455349
8/17/2011,44.237679,38.617149
8/18/2011,41.239864,36.866047
8/19/2011,41.211624,36.750443
8/22/2011,40.637482,36.600182
8/23/2011,41.870487,37.975666
8/24/2011,42.317554,38.212612
8/25/2011,41.536339,37.438175
8/26/2011,42.284626,37.860085
8/29/2011,43.084671,39.171963
8/30/2011,43.390572,39.206654
8/31/2011,43.574104,39.339565
9/1/2011,43.023483,39.281773
9/2/2011,41.578709,38.397545
9/6/2011,40.924553,37.969887
9/7/2011,42.670513,38.900352
9/8/2011,42.002254,38.073906
9/9/2011,40.152744,37.120323
9/12/2011,40.524521,37.126095
9/13/2011,40.825714,37.426636
9/14/2011,41.296345,38.125923
9/15/2011,42.543461,38.674942
9/16/2011,42.430508,38.888786
9/19/2011,41.301044,38.588264
9/20/2011,40.999855,38.726967
9/21/2011,39.263287,37.536434
9/22/2011,36.119591,36.334343
9/23/2011,34.693634,36.126282
9/26/2011,36.086647,37.062527
9/27/2011,36.994934,37.137669
9/28/2011,34.961887,36.542393
9/29/2011,34.721878,37.201229
9/30/2011,33.418255,36.594425
10/3/2011,32.194679,35.247837
10/4/2011,34.665394,35.987579
10/5/2011,36.143120,36.946949
10/6/2011,36.961987,37.189663
10/7/2011,35.248947,37.079861
10/10/2011,37.371422,38.692287
10/11/2011,37.714973,38.732738
10/12/2011,38.096157,39.212429
10/13/2011,37.827393,39.245079
10/14/2011,39.600395,40.386608
10/17/2011,38.388523,40.006092
10/18/2011,40.562351,40.515396
10/19/2011,41.434715,40.720287
10/20/2011,41.184792,41.135902
10/21/2011,42.731457,42.049137
10/24/2011,42.948368,42.218903
10/25/2011,41.269657,41.375923
10/26/2011,41.222519,42.084255
10/27/2011,43.778278,42.646248
10/28/2011,44.881699,41.996452
10/31/2011,42.170319,40.772968
11/1/2011,40.496334,39.760231
11/2/2011,45.287231,40.451012
11/3/2011,47.168709,41.270557
11/4/2011,47.946754,41.393490
11/7/2011,47.706257,41.902782
11/8/2011,48.055214,42.581837
11/9/2011,46.319920,41.106640
11/10/2011,47.173420,41.820839
11/11/2011,49.045460,42.230618
11/14/2011,48.932285,41.973030
11/15/2011,48.267395,42.142799
11/16/2011,47.479916,40.837364
11/17/2011,45.749352,40.720287
11/18/2011,46.136017,40.550529
11/21/2011,45.273094,40.304665
11/22/2011,44.787395,39.889030
11/23/2011,43.198292,39.180695
11/25/2011,42.849331,38.718224
11/28/2011,45.075043,39.379726
11/29/2011,46.319920,39.889030
11/30/2011,48.918140,41.750591
12/1/2011,48.347569,42.008163
12/2/2011,48.361721,42.470612
12/5/2011,48.149521,42.628677
12/6/2011,49.460411,42.464771
12/7/2011,48.583340,42.388668
12/8/2011,47.451618,41.574959
12/9/2011,48.922848,42.119389
12/12/2011,47.649677,41.258846
